timestamp,open,high,low,close,volume,trade_count
2019-12-19 16:00:00,140.0,140.0,130.0,130.0,0.88,2
2019-12-19 22:00:00,126.6,127.2,126.6,127.2,0.81,10
2019-12-19 23:00:00,127.3,128.2,127.3,128.2,1.0,10
2019-12-20 00:00:00,128.3,128.5,126.8,126.8,0.82628629,12
2019-12-20 05:00:00,126.6,126.6,126.2,126.2,0.34804,4
2019-12-20 08:00:00,126.01,126.01,126.01,126.01,0.72999999,3
2019-12-20 09:00:00,126.02,126.02,126.0,126.0,4.21664,5
2019-12-20 11:00:00,127.43,127.5,127.39,127.39,1.19546418,5
2019-12-20 12:00:00,128.0,128.03,128.0,128.03,1.43077,4
2019-12-20 14:00:00,128.07,128.7,127.61,128.7,11.21514165,8
2019-12-20 15:00:00,128.8,129.0,127.45,127.45,6.528465,9
2019-12-20 19:00:00,128.24,128.26,127.92,128.26,0.22547892,4
2019-12-20 21:00:00,128.41,128.41,128.15,128.15,26.66980357,27
2019-12-20 22:00:00,127.98,128.37,127.98,128.37,18.67937933,6
2019-12-20 23:00:00,128.22,128.22,128.22,128.22,0.46749512,1
2019-12-21 00:00:00,127.9,127.9,127.59,127.65,10.8878338,13
2019-12-21 01:00:00,127.75,127.75,127.19,127.19,4.37619226,5
2019-12-21 02:00:00,127.32,127.32,127.32,127.32,1.16434593,9
2019-12-21 03:00:00,127.32,127.51,127.32,127.5,12.46453569,8
2019-12-21 06:00:00,127.25,127.36,127.25,127.36,1.56921438,2
2019-12-21 08:00:00,127.38,127.38,127.38,127.38,1.72047833,1
2019-12-21 15:00:00,127.44,127.45,127.44,127.45,5.11331477,7
2019-12-21 16:00:00,127.55,127.55,127.55,127.55,0.078,1
2019-12-21 17:00:00,127.24,127.24,127.24,127.24,0.04507994,1
2019-12-21 19:00:00,127.0,127.0,127.0,127.0,4.56686598,1
2019-12-21 20:00:00,126.91,126.91,126.91,126.91,0.40186947,1
2019-12-22 05:00:00,126.51,126.51,126.51,126.51,0.1,1
2019-12-22 08:00:00,130.0,130.0,129.85,129.85,2.27537573,2
2019-12-22 11:00:00,129.46,129.65,129.27,129.27,5.21391285,3
2019-12-22 12:00:00,129.18,129.44,129.18,129.44,3.09100335,5
2019-12-22 13:00:00,129.68,129.68,129.68,129.68,1.28718584,1
2019-12-22 15:00:00,129.15,129.81,129.15,129.27,3.20399962,8
2019-12-22 16:00:00,129.58,129.58,129.5,129.5,43.0,8
2019-12-22 18:00:00,130.32,130.32,130.32,130.32,1.40280975,1
2019-12-22 19:00:00,132.2,132.2,132.2,132.2,0.306656,3
2019-12-22 21:00:00,133.23,133.23,133.23,133.23,0.34737762,1
2019-12-22 23:00:00,131.99,131.99,131.99,131.99,0.32965364,1
2019-12-23 00:00:00,132.58,134.0,132.58,134.0,4.13620507,4
2019-12-23 03:00:00,134.06,134.06,134.06,134.06,3.3,1
2019-12-23 06:00:00,132.27,132.27,131.2,131.5,80.9912807,18
2019-12-23 07:00:00,131.53,131.53,131.53,131.53,0.0543543,1
2019-12-23 09:00:00,132.42,132.42,132.42,132.42,6.54130532,1
2019-12-23 11:00:00,133.0,133.0,133.0,133.0,0.171864,1
2019-12-23 13:00:00,133.6,133.6,133.2,133.2,0.5,5
2019-12-23 14:00:00,133.1,133.35,132.75,133.35,2.25540285,9
2019-12-23 15:00:00,133.26,133.26,133.26,133.26,1.12703067,1
2019-12-23 16:00:00,133.42,133.42,131.31,131.31,14.09905919,17
2019-12-23 17:00:00,131.53,131.53,128.87,129.42,24.46654342,30
2019-12-23 19:00:00,128.86,128.86,128.86,128.86,3.03925328,3
2019-12-23 21:00:00,127.3,127.3,126.87,126.89,3.32416363,4
2019-12-23 23:00:00,127.75,127.75,127.75,127.75,0.05,1
2019-12-24 03:00:00,127.65,127.65,127.65,127.65,1.7949185,1
2019-12-24 04:00:00,127.64,128.09,127.64,128.09,0.78874909,2
2019-12-24 05:00:00,127.86,127.86,127.85,127.85,6.36223,4
2019-12-24 06:00:00,128.11,128.11,128.11,128.11,1.24778382,2
2019-12-24 07:00:00,127.99,127.99,126.89,126.89,10.84790372,20
2019-12-24 08:00:00,127.09,128.15,126.73,128.15,83.25657011,144
2019-12-24 09:00:00,128.52,128.52,128.4,128.52,9.47027697,12
2019-12-24 10:00:00,128.52,128.52,128.52,128.52,1.38e-06,1
2019-12-24 13:00:00,128.71,128.84,128.71,128.84,4.2879,4
2019-12-24 14:00:00,128.97,128.97,128.97,128.97,0.4410539,1
2019-12-24 16:00:00,128.04,128.17,128.04,128.17,7.30727924,8
